,Event date,State Code,Country,Injury severity,Aircraft damage,Make,Model,Number of engines,Engine type,FAR description,Purpose of flight,Total fatal injuries,Total serious injuries,Total minor injuries,Total uninjured,Weather condition,Report status,Region,Year,Total passengers,Total injuries
10285,1984-11-14,FL,United States,Incident,Minor,Swearingen,SA-226AT,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1984,2.0,0.0
10293,1984-11-15,WI,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Midwest,1984,3.0,0.0
10301,1984-11-16,HI,United States,Non-Fatal,Substantial,Boeing,747-122,4.0,Turbo Fan,Unknown,Unknown,0.0,2.0,38.0,371.0,VMC,Probable Cause,West,1984,411.0,40.0
10335,1984-11-20,AK,United States,Non-Fatal,Substantial,Embraer,EMB-110,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,1984,2.0,0.0
10417,1984-12-04,GA,United States,Incident,Minor,Boeing,727-251,3.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,99.0,VMC,Probable Cause,South,1984,99.0,0.0
10424,1984-12-06,FL,United States,Fatal(13),Destroyed,Embraer,EMB-110P1,2.0,Turbo Prop,Unknown,Unknown,13.0,0.0,0.0,0.0,VMC,Probable Cause,South,1984,13.0,13.0
10425,1984-12-06,SC,United States,Fatal(1),Destroyed,Beech,58,2.0,Reciprocating,Unknown,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,South,1984,1.0,1.0
10432,1984-12-07,CO,United States,Non-Fatal,Unknown,Mcdonnell douglas,DC-9-30,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,1.0,103.0,VMC,Probable Cause,West,1984,105.0,2.0
10436,1984-12-07,AR,United States,Non-Fatal,Substantial,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,7.0,VMC,Probable Cause,South,1984,7.0,0.0
10450,1984-12-09,CA,United States,Non-Fatal,Substantial,Beech,B-60,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,1984,2.0,0.0
10458,1984-12-10,FL,United States,Non-Fatal,Substantial,Beech,65,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,5.0,VMC,Probable Cause,South,1984,5.0,0.0
10461,1984-12-10,MA,United States,Non-Fatal,Substantial,Beech,58TC,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,4.0,IMC,Probable Cause,Northeast,1984,4.0,0.0
10467,1984-12-11,AZ,United States,Non-Fatal,Substantial,Beech,C45H,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,1.0,IMC,Probable Cause,West,1984,1.0,0.0
10470,1984-12-12,NY,United States,Incident,Minor,Mcdonnell douglas,DC-10-10,3.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,189.0,UNK,Probable Cause,Northeast,1984,189.0,0.0
10479,1984-12-13,VA,United States,Non-Fatal,Destroyed,Beech,D18S,2.0,Reciprocating,Unknown,Unknown,0.0,1.0,0.0,0.0,IMC,Probable Cause,South,1984,1.0,1.0
10488,1984-12-14,KS,United States,Non-Fatal,Substantial,Beech,300,2.0,Turbo Prop,Unknown,Instructional,0.0,0.0,0.0,2.0,IMC,Probable Cause,Midwest,1984,2.0,0.0
10521,1984-12-19,MI,United States,Non-Fatal,Substantial,Beech,B-18S,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1984,2.0,0.0
10526,1984-12-20,LA,United States,Incident,Unknown,Boeing,747-200,4.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,365.0,VMC,Probable Cause,South,1984,365.0,0.0
10529,1984-12-21,OH,United States,Incident,Minor,Beech,58P,2.0,Reciprocating,Unknown,Executive/corporate,0.0,0.0,0.0,2.0,IMC,Probable Cause,Midwest,1984,2.0,0.0
10551,1984-12-23,FL,United States,Non-Fatal,Substantial,Beech,58P,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,South,1984,4.0,0.0
10560,1984-12-24,MI,United States,Non-Fatal,Substantial,Beech,BE-58,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,5.0,IMC,Probable Cause,Midwest,1984,5.0,0.0
10562,1984-12-24,TX,United States,Non-Fatal,Substantial,Beech,95-C55,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1984,1.0,0.0
10584,1984-12-27,FL,United States,Incident,Unknown,Douglas,DC3A,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,7.0,VMC,Probable Cause,South,1984,7.0,0.0
10615,1985-01-01,ia,Bolivia,Fatal(29),Destroyed,Boeing,727-225,3.0,Turbo Fan,Unknown,Unknown,29.0,0.0,0.0,0.0,UNK,Foreign,Unknown,1985,29.0,29.0
10627,1985-01-04,MO,United States,Incident,Unknown,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,5.0,VMC,Probable Cause,Midwest,1985,5.0,0.0
10643,1985-01-06,NC,United States,Non-Fatal,Substantial,Beech,C90,2.0,Turbo Prop,Unknown,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1985,1.0,0.0
10651,1985-01-08,KY,United States,Incident,Unknown,Swearingen,SA-227-AC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,13.0,VMC,Probable Cause,South,1985,13.0,0.0
10675,1985-01-12,MA,United States,Non-Fatal,Substantial,Beech,B58,2.0,Reciprocating,Unknown,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Northeast,1985,2.0,0.0
10689,1985-01-14,OH,United States,Incident,Minor,Beech,H-18,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1985,1.0,0.0
10703,1985-01-16,IN,United States,Non-Fatal,Substantial,Beech,BE-58,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,2.0,IMC,Probable Cause,Midwest,1985,2.0,0.0
10706,1985-01-17,NY,United States,Incident,Minor,Boeing,727-224,3.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,86.0,IMC,Probable Cause,Northeast,1985,86.0,0.0
10715,1985-01-18,MI,United States,Non-Fatal,Substantial,Beech,58P,2.0,Reciprocating,Unknown,Executive/corporate,0.0,0.0,0.0,1.0,IMC,Probable Cause,Midwest,1985,1.0,0.0
10734,1985-01-23,CO,United States,Incident,Unknown,Boeing,737-291,2.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,107.0,VMC,Probable Cause,West,1985,107.0,0.0
10740,1985-01-24,TX,United States,Non-Fatal,Substantial,Swearingen,SA26-T,2.0,Turbo Prop,Unknown,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1985,2.0,0.0
10741,1985-01-24,IN,United States,Non-Fatal,Substantial,Beech,BE-58,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1985,1.0,0.0
10744,1985-01-25,MS,United States,Non-Fatal,Destroyed,Beech,BE-55,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1985,1.0,0.0
10752,1985-01-26,MN,United States,Incident,Minor,Boeing,727-51,3.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,61.0,IMC,Probable Cause,Midwest,1985,61.0,0.0
10759,1985-01-27,ND,United States,Non-Fatal,Substantial,Beech,76,2.0,Reciprocating,Unknown,Instructional,0.0,2.0,2.0,0.0,VMC,Probable Cause,Midwest,1985,4.0,4.0
10773,1985-01-30,KY,United States,Fatal(3),Destroyed,Beech,B-50,2.0,Reciprocating,Unknown,Personal,3.0,1.0,0.0,0.0,IMC,Probable Cause,South,1985,4.0,4.0
10779,1985-01-31,KY,United States,Non-Fatal,Destroyed,Swearingen,SA-227,2.0,Turbo Prop,Unknown,Unknown,0.0,2.0,1.0,0.0,IMC,Probable Cause,South,1985,3.0,3.0
10780,1985-01-31,IL,United States,Incident,Unknown,Mcdonnell douglas,DC-9-31,2.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,26.0,VMC,Probable Cause,Midwest,1985,26.0,0.0
10784,1985-01-31,WV,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,Unknown,0.0,2.0,2.0,0.0,IMC,Probable Cause,South,1985,4.0,4.0
10787,1985-02-01,NJ,United States,Fatal(2),Destroyed,Beech,A100,2.0,Turbo Prop,Unknown,Positioning,2.0,0.0,0.0,0.0,IMC,Probable Cause,Northeast,1985,2.0,2.0
10792,1985-02-01,NC,United States,Non-Fatal,Substantial,Beech,B-80,2.0,Reciprocating,Unknown,Business,0.0,0.0,0.0,8.0,VMC,Probable Cause,South,1985,8.0,0.0
10797,1985-02-02,LA,United States,Non-Fatal,Substantial,Swearingen,SA-226T,2.0,Turbo Prop,Unknown,Business,0.0,0.0,0.0,4.0,VMC,Probable Cause,South,1985,4.0,0.0
10805,1985-02-04,AK,United States,Fatal(9),Destroyed,Beech,65-A80,2.0,Reciprocating,Unknown,Unknown,9.0,0.0,0.0,0.0,IMC,Probable Cause,West,1985,9.0,9.0
10806,1985-02-04,TX,United States,Non-Fatal,Substantial,Aerospatiale,AS 355F-1,2.0,Turbo Shaft,Unknown,Positioning,0.0,0.0,0.0,1.0,IMC,Probable Cause,South,1985,1.0,0.0
10810,1985-02-05,PA,United States,Non-Fatal,Substantial,Mcdonnell douglas,DC-9-15,2.0,Turbo Fan,Unknown,Unknown,0.0,2.0,0.0,0.0,IMC,Probable Cause,Northeast,1985,2.0,2.0
10811,1985-02-05,NC,United States,Non-Fatal,Substantial,Douglas,DC-3,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1985,2.0,0.0
10813,1985-02-06,CT,United States,Incident,Minor,Beech,BE-99,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,4.0,IMC,Probable Cause,Northeast,1985,4.0,0.0
10821,1985-02-08,WA,United States,Non-Fatal,Substantial,Beech,58TC,2.0,Reciprocating,Unknown,Positioning,0.0,0.0,0.0,2.0,IMC,Probable Cause,West,1985,2.0,0.0
10827,1985-02-08,MS,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1985,1.0,0.0
10835,1985-02-09,SC,United States,Non-Fatal,Substantial,Beech,95-C55,2.0,Reciprocating,Unknown,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1985,2.0,0.0
10838,1985-02-10,IL,United States,Incident,Unknown,Mcdonnell douglas,DC-9,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,53.0,IMC,Probable Cause,Midwest,1985,53.0,0.0
10844,1985-02-10,CA,United States,Non-Fatal,Substantial,Beech,65,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,1985,2.0,0.0
10851,1985-02-11,MS,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,Positioning,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1985,1.0,0.0
10855,1985-02-12,GA,United States,Fatal(1),Destroyed,Beech,H18,2.0,Reciprocating,Unknown,Positioning,1.0,0.0,0.0,0.0,VMC,Probable Cause,South,1985,1.0,1.0
10856,1985-02-13,PA,United States,Fatal(2),Destroyed,Beech,G90,2.0,Turbo Prop,Unknown,Business,2.0,0.0,0.0,0.0,IMC,Probable Cause,Northeast,1985,2.0,2.0
10857,1985-02-13,MO,United States,Incident,Unknown,Swearingen,SA-226-TC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Midwest,1985,3.0,0.0
10861,1985-02-13,CA,United States,Non-Fatal,Substantial,Beech,BE-18,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,1985,1.0,0.0
10891,1985-02-17,CA,United States,Non-Fatal,Substantial,Beech,B 90,2.0,Turbo Prop,Unknown,Personal,0.0,0.0,1.0,1.0,VMC,Probable Cause,West,1985,2.0,1.0
10913,1985-02-19,CA,United States,Non-Fatal,Substantial,Boeing,747 SP-09,4.0,Turbo Fan,Unknown,Unknown,0.0,2.0,0.0,271.0,IMC,Probable Cause,West,1985,273.0,2.0
10919,1985-02-20,KS,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Unknown,Unknown,0.0,1.0,0.0,0.0,IMC,Probable Cause,Midwest,1985,1.0,1.0
10920,1985-02-20,MN,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,4.0,UNK,Probable Cause,Midwest,1985,4.0,0.0
10966,1985-02-28,CA,United States,Fatal(2),Destroyed,Beech,76,2.0,Reciprocating,Unknown,Instructional,2.0,1.0,0.0,0.0,VMC,Probable Cause,West,1985,3.0,3.0
11073,1985-03-10,TX,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,IMC,Probable Cause,South,1985,1.0,0.0
11083,1985-03-12,AK,United States,Non-Fatal,Substantial,De havilland,DHC-6-300,2.0,Turbo Prop,Unknown,Unknown,0.0,2.0,2.0,0.0,IMC,Probable Cause,West,1985,4.0,4.0
11086,1985-03-13,IL,United States,Fatal(1),Destroyed,Beech,58,2.0,Reciprocating,Unknown,Positioning,1.0,0.0,0.0,0.0,VMC,Probable Cause,Midwest,1985,1.0,1.0
11101,1985-03-15,FL,United States,Incident,Minor,Douglas,DC-6B,4.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,South,1985,3.0,0.0
11103,1985-03-15,CA,United States,Incident,Unknown,Mcdonnell douglas,DC-9,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,158.0,VMC,Probable Cause,West,1985,158.0,0.0
11127,1985-03-17,OK,United States,Non-Fatal,Destroyed,Douglas,A-26B,2.0,Reciprocating,Unknown,Ferry,0.0,0.0,3.0,0.0,VMC,Probable Cause,South,1985,3.0,3.0
11150,1985-03-20,AS,Unknown,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Unknown,1985,1.0,0.0
11165,1985-03-22,CA,United States,Non-Fatal,Substantial,Swearingen,SA 226TC,2.0,Turbo Prop,Unknown,Unknown,0.0,1.0,1.0,12.0,VMC,Probable Cause,West,1985,14.0,2.0
11176,1985-03-23,AR,United States,Non-Fatal,Substantial,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,9.0,VMC,Probable Cause,South,1985,9.0,0.0
11179,1985-03-24,TN,United States,Incident,Unknown,Boeing,727-100,3.0,Turbo Jet,Unknown,Unknown,0.0,0.0,1.0,130.0,VMC,Probable Cause,South,1985,131.0,1.0
11194,1985-03-26,NV,United States,Incident,Unknown,Mcdonnell douglas,DC-9-14,2.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,41.0,IMC,Probable Cause,West,1985,41.0,0.0
11207,1985-03-29,co,Mexico,Incident,Minor,Boeing,727-200B,3.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,152.0,VMC,Probable Cause,Unknown,1985,152.0,0.0
11256,1985-04-03,MI,United States,Non-Fatal,Substantial,De havilland,DHC-6-200,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1985,1.0,0.0
11290,1985-04-07,ND,United States,Non-Fatal,Substantial,Swearingen,SA-227-AC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1985,2.0,0.0
11302,1985-04-10,OH,United States,Incident,Unknown,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,17.0,VMC,Probable Cause,Midwest,1985,17.0,0.0
11313,1985-04-12,VA,United States,Incident,Minor,Boeing,737-217,2.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,107.0,VMC,Probable Cause,South,1985,107.0,0.0
11316,1985-04-12,NY,United States,Non-Fatal,Substantial,Swearingen,SA-226TC,2.0,Turbo Prop,Unknown,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Northeast,1985,2.0,0.0
11343,1985-04-15,TX,United States,Incident,Minor,De havilland,DHC-7-103,4.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,South,1985,10.0,0.0
11347,1985-04-16,NM,United States,Incident,Minor,Boeing,727-227,3.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,89.0,VMC,Probable Cause,West,1985,89.0,0.0
11348,1985-04-16,DC,United States,Incident,Minor,Boeing,727-200,3.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,129.0,VMC,Probable Cause,South,1985,129.0,0.0
11352,1985-04-16,NM,United States,Non-Fatal,Substantial,Beech,58TC,2.0,Reciprocating,Unknown,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,1985,2.0,0.0
11357,1985-04-17,IL,United States,Incident,Minor,De havilland,DH-125,2.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,4.0,VMC,Probable Cause,Midwest,1985,4.0,0.0
11359,1985-04-17,MA,United States,Non-Fatal,Substantial,Beech,D95A,2.0,Reciprocating,Unknown,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Probable Cause,Northeast,1985,1.0,0.0
11373,1985-04-19,AR,United States,Fatal(2),Destroyed,Beech,B95,2.0,Reciprocating,Unknown,Unknown,2.0,0.0,0.0,0.0,VMC,Probable Cause,South,1985,2.0,2.0
11410,1985-04-20,WI,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1985,2.0,0.0
11433,1985-04-23,AR,United States,Non-Fatal,Unknown,Boeing,727-223,3.0,Turbo Jet,Unknown,Unknown,0.0,1.0,1.0,3.0,UNK,Probable Cause,South,1985,5.0,2.0
11445,1985-04-25,MI,United States,Incident,Unknown,Boeing,747-123,4.0,Turbo Fan,Unknown,Unknown,0.0,0.0,42.0,439.0,VMC,Probable Cause,Midwest,1985,481.0,42.0
11446,1985-04-25,SC,United States,Non-Fatal,Destroyed,Beech,58,2.0,Reciprocating,Unknown,Business,0.0,0.0,0.0,3.0,VMC,Probable Cause,South,1985,3.0,0.0
11452,1985-04-25,VA,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,IMC,Probable Cause,South,1985,1.0,0.0
11489,1985-04-28,TX,United States,Non-Fatal,Substantial,Boeing,737-300,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,1.0,132.0,IMC,Probable Cause,South,1985,133.0,1.0
11504,1985-04-30,TX,United States,Fatal(2),Destroyed,Beech,B 55,2.0,Reciprocating,Unknown,Business,2.0,0.0,0.0,0.0,IMC,Probable Cause,South,1985,2.0,2.0
11514,1985-05-02,FL,United States,Non-Fatal,Destroyed,Beech,95-C55,2.0,Reciprocating,Unknown,Personal,0.0,1.0,0.0,0.0,VMC,Probable Cause,South,1985,1.0,1.0
11530,1985-05-04,CA,United States,Non-Fatal,Destroyed,Douglas,DC3,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,33.0,VMC,Probable Cause,West,1985,33.0,0.0
11572,1985-05-06,FL,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,1.0,4.0,VMC,Probable Cause,South,1985,5.0,1.0
11581,1985-05-07,IN,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1985,2.0,0.0
11614,1985-05-11,TX,United States,Incident,Minor,Boeing,B767-232,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,53.0,VMC,Probable Cause,South,1985,53.0,0.0
11689,1985-05-19,AR,United States,Non-Fatal,Destroyed,Beech,E-90,2.0,Turbo Prop,Unknown,Instructional,0.0,0.0,1.0,2.0,VMC,Probable Cause,South,1985,3.0,1.0
11703,1985-05-19,GA,United States,Non-Fatal,Substantial,Embraer,EMB-110-P1,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,7.0,VMC,Probable Cause,South,1985,7.0,0.0
11710,1985-05-20,TX,United States,Non-Fatal,Substantial,Beech,58P,2.0,Reciprocating,Unknown,Business,0.0,0.0,0.0,3.0,VMC,Probable Cause,South,1985,3.0,0.0
11742,1985-05-24,NE,United States,Non-Fatal,Substantial,Beech,65-88,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Midwest,1985,3.0,0.0
11767,1985-05-27,IL,United States,Incident,Minor,Boeing,727-023,3.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,121.0,VMC,Probable Cause,Midwest,1985,121.0,0.0
11775,1985-05-28,AN,ATLANTIC OCEAN,Non-Fatal,Unknown,Airbus,A-300B4-2C,2.0,Turbo Fan,Unknown,Unknown,0.0,2.0,19.0,53.0,IMC,Probable Cause,Unknown,1985,74.0,21.0
11783,1985-05-28,NY,United States,Non-Fatal,Substantial,Mcdonnell douglas,DC-10-10,3.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,212.0,IMC,Probable Cause,Northeast,1985,212.0,0.0
11794,1985-05-30,CA,United States,Non-Fatal,Substantial,Beech,65-A90,2.0,Turbo Prop,Unknown,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,1985,1.0,0.0
11820,1985-06-02,VA,United States,Incident,Unknown,Douglas,DC-10-30F,3.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,201.0,VMC,Probable Cause,South,1985,201.0,0.0
11845,1985-06-06,OH,United States,Fatal(1),Destroyed,Beech,E18S,2.0,Reciprocating,Unknown,Positioning,1.0,0.0,0.0,0.0,VMC,Probable Cause,Midwest,1985,1.0,1.0
11878,1985-06-09,NY,United States,Fatal(2),Destroyed,Beech,BE-200,2.0,Turbo Prop,Unknown,Positioning,2.0,0.0,0.0,0.0,UNK,Probable Cause,Northeast,1985,2.0,2.0
11924,1985-06-13,TX,United States,Non-Fatal,Substantial,Beech,95,2.0,Reciprocating,Unknown,Instructional,0.0,1.0,1.0,0.0,VMC,Probable Cause,South,1985,2.0,2.0
11959,1985-06-16,FL,United States,Non-Fatal,Unknown,Boeing,B-737-201,2.0,Turbo Jet,Unknown,Unknown,0.0,1.0,1.0,43.0,VMC,Probable Cause,South,1985,45.0,2.0
11993,1985-06-19,TX,United States,Fatal(1),Destroyed,Swearingen,SA-26AT,2.0,Turbo Prop,Unknown,Executive/corporate,1.0,0.0,0.0,0.0,VMC,Probable Cause,South,1985,1.0,1.0
12003,1985-06-20,AL,United States,Fatal(1),Destroyed,Mcdonnell douglas,RF-4C,2.0,Turbo Jet,Unknown,Unknown,1.0,0.0,2.0,0.0,VMC,Probable Cause,South,1985,3.0,3.0
12004,1985-06-20,AL,United States,Fatal(1),Destroyed,Beech,E18S,2.0,Reciprocating,Unknown,Unknown,1.0,0.0,2.0,0.0,VMC,Probable Cause,South,1985,3.0,3.0
12039,1985-06-23,MI,United States,Non-Fatal,Unknown,Boeing,727,3.0,Turbo Fan,Unknown,Unknown,0.0,2.0,2.0,71.0,VMC,Probable Cause,Midwest,1985,75.0,4.0
12057,1985-06-24,NJ,United States,Fatal(1),Destroyed,Beech,B95A,2.0,Reciprocating,Unknown,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Northeast,1985,1.0,1.0
12086,1985-06-27,CA,United States,Incident,Minor,Boeing,737-247,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,96.0,VMC,Probable Cause,West,1985,96.0,0.0
12096,1985-06-27,AN,Puerto Rico,Non-Fatal,Substantial,Mcdonnell douglas,DC-10-10,3.0,Turbo Fan,Unknown,Unknown,0.0,3.0,29.0,238.0,VMC,Probable Cause,Unknown,1985,270.0,32.0
12117,1985-06-30,FL,United States,Non-Fatal,Destroyed,Beech,65-A90,2.0,Turbo Prop,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1985,2.0,0.0
12119,1985-06-30,WV,United States,Non-Fatal,Destroyed,Beech,76,2.0,Reciprocating,Unknown,Instructional,0.0,1.0,0.0,1.0,VMC,Probable Cause,South,1985,2.0,1.0
12123,1985-06-30,CA,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Unknown,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,1985,1.0,0.0
12126,1985-06-30,GA,United States,Non-Fatal,Substantial,Beech,55,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,South,1985,3.0,0.0
12128,1985-06-30,AK,United States,Non-Fatal,Substantial,Douglas,DC-3,2.0,Reciprocating,Unknown,Business,0.0,0.0,0.0,4.0,IMC,Probable Cause,West,1985,4.0,0.0
12130,1985-07-01,CA,United States,Fatal(3),Destroyed,Beech,95-B55,2.0,Reciprocating,Unknown,Business,3.0,1.0,0.0,0.0,VMC,Probable Cause,West,1985,4.0,4.0
12131,1985-07-01,GA,United States,Incident,Minor,Beech,95-B55,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,South,1985,3.0,0.0
12135,1985-07-02,MA,United States,Incident,Unknown,Douglas,DC-9,2.0,Turbo Jet,Unknown,Unknown,0.0,1.0,0.0,52.0,VMC,Probable Cause,Northeast,1985,53.0,1.0
12203,1985-07-07,AK,United States,Non-Fatal,Destroyed,Douglas,DC-6A,4.0,Reciprocating,Unknown,Business,0.0,0.0,3.0,0.0,VMC,Probable Cause,West,1985,3.0,3.0
12271,1985-07-13,KY,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Unknown,Instructional,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1985,1.0,0.0
12278,1985-07-14,NY,United States,Non-Fatal,Substantial,Beech,36,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Northeast,1985,2.0,0.0
12289,1985-07-14,KS,United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1985,2.0,0.0
12316,1985-07-16,KY,United States,Non-Fatal,Substantial,Beech,99,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1985,1.0,0.0
12347,1985-07-18,MN,United States,Non-Fatal,Substantial,Beech,BE-55,2.0,Reciprocating,Unknown,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1985,1.0,0.0
12351,1985-07-18,OH,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1985,2.0,0.0
12377,1985-07-20,AZ,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,5.0,VMC,Probable Cause,West,1985,5.0,0.0
12429,1985-07-25,CO,United States,Non-Fatal,Substantial,Beech,58P,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,5.0,VMC,Probable Cause,West,1985,5.0,0.0
